top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
PharmacyProductType,,,
,Mx4rrT0CQsnYQdeUFaM6UISzYw,TemporallyExistingThingTypeFrequentlyForSale,
PharmacyProductType,,,
,Mx4rOEevWKNuQdiN04S0lcdxLw,KEClarifyingCollectionType,
PharmacyProductType,,,
,,,FirstOrderCollection
DrugSubstance,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
DrugSubstance,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
DrugSubstance,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
DrugSubstance,,,
,,,SpatialThing
,,,
,,,
TemporallyExistingThingTypeFrequentlyForSale,1,,
SurfaceRegion-Underspecified,1,,
PartiallyTangible,1,,
KEClarifyingCollectionType,1,,
Agent-Underspecified,1,,
