top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
Information-Content,,,
,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore,
Information-Content,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHitrr4wOtugR24AAAAKzqFFeHiu9_2xknCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet CardiacValveProsthesis AspatialInformationStore)),
Information-Content,,,
,,,InformationStore
DynamicInfoSource,,,
,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore,
DynamicInfoSource,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHitrr4wOtugR24AAAAKzqFFeHiu9_2xknCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet CardiacValveProsthesis AspatialInformationStore)),
DynamicInfoSource,,,
,,,InformationStore
AbstractStructure,,,
,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore,
AbstractStructure,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHitrr4wOtugR24AAAAKzqFFeHiu9_2xknCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet CardiacValveProsthesis AspatialInformationStore)),
AbstractStructure,,,
,,,InformationStore
NumericString,,,
,Mx4rvViAPJwpEbGdrcN5Y29ycA,SubLString,
NumericString,,,
,http://www.w3.org/2000/01/rdf-schema#Literal,,
NumericString,,,
,Mx4rvVilcZwpEbGdrcN5Y29ycA,SubLAtom,
NumericString,,,
,Mx4rY1vZhFxKEdaAAACQJ5pZBw,KSID,
NumericString,,,
,http://www.w3.org/2002/07/owl#Thing,,
NumericString,,,
,Mx4rvVjaApwpEbGdrcN5Y29ycA,Individual,
NumericString,,,
,Mx4rvVil9ZwpEbGdrcN5Y29ycA,SubLListOrAtom,
NumericString,,,
,Mx4rwQf_-5wpEbGdrcN5Y29ycA,CycLTerm,
NumericString,,,
,Mx4rv9K_OJwpEbGdrcN5Y29ycA,Trajector-Underspecified,
NumericString,,,
,Mx4rv6aZ4JwpEbGdrcN5Y29ycA,SubLSExpression,
NumericString,,,
,Mx4r2ABPSNZRQBK5IvcXTs-ujQ,aura:Thing,
NumericString,,,
,Mx4rvpDCHZwpEbGdrcN5Y29ycA,CycLExpression,
NumericString,,,
,Mx4rvhT1EZwpEbGdrcN5Y29ycA,Location-Underspecified,
NumericString,,,
,,,TextString
NumericString,,,
,http://www.w3.org/2001/XMLSchema#string,,
NumericString,,,
,Mx8NhB4rvcD6KJwpEbGdrcN5Y29ycB4rvVjaApwpEbGdrcN5Y29ycB4rvVj7bpwpEbGdrcN5Y29ycB4rvVjaApwpEbGdrcN5Y29ycA,(SubcollectionOfWithRelationFromTypeFn Individual parts Individual),
NumericString,,,
,Mx8Ngx4rvzqXjJwpEbGdrcN5Y29ycB4rwCgi_JwpEbGdrcN5Y29ycA-XUkVQUkVTRU5UQVRJT05BTC1PQkpFQ1Q,"(MeaningInSystemFn SENSUS-Information1997 ""REPRESENTATIONAL-OBJECT"")",
NumericString,,,
,Mx8Ngx4rvzqXjJwpEbGdrcN5Y29ycB4rwCgi_JwpEbGdrcN5Y29ycA-XTEFOR1VBR0UtUkVMQVRFRC1PQkpFQ1Q,"(MeaningInSystemFn SENSUS-Information1997 ""LANGUAGE-RELATED-OBJECT"")",
NumericString,,,
,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore,
NumericString,,,
,Mx4r6iVgyruPQdefX9D0i1i7MQ,AbstractIndividual,
NumericString,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WJBQnCkRsZ2tw3ljb3JwHivqJWDKu49B159f0PSLWLsx,(CollectionUnionFn (TheSet ComputerStorageDevice AbstractIndividual)),
NumericString,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHitrr4wOtugR24AAAAKzqFFeHiu9_2xknCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet CardiacValveProsthesis AspatialInformationStore)),
NumericString,,,
,Mx4rwBObNJwpEbGdrcN5Y29ycA,PartiallyIntangibleIndividual,
NumericString,,,
,,,InformationStore
,,,
,,,
AspatialInformationStore,4,,
(CollectionUnionFn (TheSet CardiacValveProsthesis AspatialInformationStore)),4,,
,3,,
aura:Thing,1,,
Trajector-Underspecified,1,,
SubLString,1,,
SubLSExpression,1,,
SubLListOrAtom,1,,
SubLAtom,1,,
PartiallyIntangibleIndividual,1,,
Location-Underspecified,1,,
KSID,1,,
Individual,1,,
CycLTerm,1,,
CycLExpression,1,,
AbstractIndividual,1,,
(SubcollectionOfWithRelationFromTypeFn Individual parts Individual),1,,
"(MeaningInSystemFn SENSUS-Information1997 ""REPRESENTATIONAL-OBJECT"")",1,,
"(MeaningInSystemFn SENSUS-Information1997 ""LANGUAGE-RELATED-OBJECT"")",1,,
(CollectionUnionFn (TheSet ComputerStorageDevice AbstractIndividual)),1,,
