top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
Group-PerceptualAgent-Embodied,,,
,Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rvViAB5wpEbGdrcN5Y29ycA,(GroupFn Agent-PartiallyTangible),
Group-PerceptualAgent-Embodied,,,
,Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rvsaaeJwpEbGdrcN5Y29ycA,(GroupFn Agent-Generic),
Group-PerceptualAgent-Embodied,,,
,Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rvVj27ZwpEbGdrcN5Y29ycA,(GroupFn PartiallyTangible),
Group-PerceptualAgent-Embodied,,,
,Mx8Ngh4rwP1535wpEbGdrcN5Y29ycB4rvVi255wpEbGdrcN5Y29ycA,(GroupFn SomethingExisting),
Group-PerceptualAgent-Embodied,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu-xpp4nCkRsZ2tw3ljb3JwHw2CHivA_XnfnCkRsZ2tw3ljb3JwHiu-xpp4nCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet Agent-Generic (GroupFn Agent-Generic))),
Group-PerceptualAgent-Embodied,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
Group-PerceptualAgent-Embodied,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
Group-PerceptualAgent-Embodied,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
Group-PerceptualAgent-Embodied,,,
,,,SpatialThing
Group-IntelligentAgent,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WKdvnCkRsZ2tw3ljb3JwHw2CHivA_XnfnCkRsZ2tw3ljb3JwHiu9WKdvnCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet IntelligentAgent (GroupFn IntelligentAgent))),
Group-IntelligentAgent,,,
,http://www.w3.org/2002/07/owl#Thing,,
Group-IntelligentAgent,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiu-xpp4nCkRsZ2tw3ljb3JwHw2CHivA_XnfnCkRsZ2tw3ljb3JwHiu-xpp4nCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet Agent-Generic (GroupFn Agent-Generic))),
Group-IntelligentAgent,,,
,,,TemporalThing
OrganizationType,,,
,Mx4rvWXYgJwpEbGdrcN5Y29ycA,ExistingObjectType,
OrganizationType,,,
,,,TemporalStuffType
,,,
,,,
(CollectionUnionFn (TheSet Agent-Generic (GroupFn Agent-Generic))),2,,
SurfaceRegion-Underspecified,1,,
PartiallyTangible,1,,
ExistingObjectType,1,,
Agent-Underspecified,1,,
(GroupFn SomethingExisting),1,,
(GroupFn PartiallyTangible),1,,
(GroupFn Agent-PartiallyTangible),1,,
(GroupFn Agent-Generic),1,,
(CollectionUnionFn (TheSet IntelligentAgent (GroupFn IntelligentAgent))),1,,
,1,,
