top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
HexalateralObject,,,
,Mx4rvmLypJwpEbGdrcN5Y29ycA,TopAndBottomSidedObject,
HexalateralObject,,,
,Mx4rwAiFbpwpEbGdrcN5Y29ycA,BilateralObject,
HexalateralObject,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiujnALE99UR2YAAAAKzS4U5HivACIVunCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet AxisymmetricObject BilateralObject)),
HexalateralObject,,,
,,,SpatialThing-Localized
ClosedObject,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
ClosedObject,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
ClosedObject,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
ClosedObject,,,
,,,SpatialThing
ContainerIndependentShapedThing,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
ContainerIndependentShapedThing,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
ContainerIndependentShapedThing,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
AxisymmetricObject,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiujnALE99UR2YAAAAKzS4U5HivACIVunCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet AxisymmetricObject BilateralObject)),
AxisymmetricObject,,,
,http://www.w3.org/2002/07/owl#Thing,,
,,,
,,,
SurfaceRegion-Underspecified,2,,
PartiallyTangible,2,,
Agent-Underspecified,2,,
(CollectionUnionFn (TheSet AxisymmetricObject BilateralObject)),2,,
TopAndBottomSidedObject,1,,
BilateralObject,1,,
,1,,
