top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
Heritage,,,
,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore,
Heritage,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHitrr4wOtugR24AAAAKzqFFeHiu9_2xknCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet CardiacValveProsthesis AspatialInformationStore)),
Heritage,,,
,,,InformationStore
BeliefSystem,,,
,Mx4rvf9sZJwpEbGdrcN5Y29ycA,AspatialInformationStore,
BeliefSystem,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHitrr4wOtugR24AAAAKzqFFeHiu9_2xknCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet CardiacValveProsthesis AspatialInformationStore)),
BeliefSystem,,,
,,,InformationStore
AwardPractice,,,
,,,DevisedPracticeOrWork
,,,
,,,
AspatialInformationStore,2,,
(CollectionUnionFn (TheSet CardiacValveProsthesis AspatialInformationStore)),2,,
