top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
Backlit,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
Backlit,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
Backlit,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
Backlit,,,
,,,SpatialThing
VisualInformationBearingThing,,,
,Mx4rvjSBSZwpEbGdrcN5Y29ycA,Artifact-Generic,
VisualInformationBearingThing,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
VisualInformationBearingThing,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2EHiu9WOR2nCkRsZ2tw3ljb3JwHiu9WKhBnCkRsZ2tw3ljb3JwHiu-NIFJnCkRsZ2tw3ljb3JwHiu_kvm9nCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet Action Artifact-Generic PropositionalConceptualWork)),
VisualInformationBearingThing,,,
,Mx8Ngh4rvrhK-JwpEbGdrcN5Y29ycA2DHiu9WOR2nCkRsZ2tw3ljb3JwHiscgFLSH9MR1oAAAFDauSwvHiu-NIFJnCkRsZ2tw3ljb3Jw,(CollectionUnionFn (TheSet FirstOrderCollection Artifact-Generic)),
VisualInformationBearingThing,,,
,,,CulturalThing
,,,
,,,
SurfaceRegion-Underspecified,1,,
PartiallyTangible,1,,
Artifact-Generic,1,,
Agent-Underspecified,1,,
(CollectionUnionFn (TheSet FirstOrderCollection Artifact-Generic)),1,,
(CollectionUnionFn (TheSet Action Artifact-Generic PropositionalConceptualWork)),1,,
(CollectionDifferenceFn Thing Person),1,,
