s,p,o
http://kbpedia.org/kko/rc/Airfield,kko:superClassOf,http://www.geonames.org/ontology#S.AIRF
http://kbpedia.org/kko/rc/Airfield,kko:superClassOf,http://www.geonames.org/ontology#S.AIRQ
http://kbpedia.org/kko/rc/AlluvialFan,kko:superClassOf,http://www.geonames.org/ontology#T.FAN
http://kbpedia.org/kko/rc/AlluvialFan,kko:superClassOf,http://www.geonames.org/ontology#U.FANU
http://kbpedia.org/kko/rc/Bank-Topographical,kko:superClassOf,http://www.geonames.org/ontology#H.BNK
http://kbpedia.org/kko/rc/Bank-Topographical,kko:superClassOf,http://www.geonames.org/ontology#H.BNKX
http://kbpedia.org/kko/rc/Bank-Underwater,kko:superClassOf,http://www.geonames.org/ontology#U.BKSU
http://kbpedia.org/kko/rc/Bank-Underwater,kko:superClassOf,http://www.geonames.org/ontology#U.BNKU
http://kbpedia.org/kko/rc/Bay,kko:superClassOf,http://www.geonames.org/ontology#H.BAY
http://kbpedia.org/kko/rc/Bay,kko:superClassOf,http://www.geonames.org/ontology#H.BAYS
http://kbpedia.org/kko/rc/Beach,kko:superClassOf,http://www.geonames.org/ontology#T.BCH
http://kbpedia.org/kko/rc/Beach,kko:superClassOf,http://www.geonames.org/ontology#T.BCHS
http://kbpedia.org/kko/rc/Bench-Topographical,kko:superClassOf,http://www.geonames.org/ontology#T.BNCH
http://kbpedia.org/kko/rc/Bench-Topographical,kko:superClassOf,http://www.geonames.org/ontology#U.BNCU
http://kbpedia.org/kko/rc/Bridge,kko:superClassOf,http://www.geonames.org/ontology#S.BDG
http://kbpedia.org/kko/rc/Bridge,kko:superClassOf,http://www.geonames.org/ontology#S.BDGQ
http://kbpedia.org/kko/rc/Campsite,kko:superClassOf,http://www.geonames.org/ontology#S.CMP
http://kbpedia.org/kko/rc/Campsite,kko:superClassOf,http://www.geonames.org/ontology#S.CMPQ
http://kbpedia.org/kko/rc/Canal,kko:superClassOf,http://www.geonames.org/ontology#H.CNL
http://kbpedia.org/kko/rc/Canal,kko:superClassOf,http://www.geonames.org/ontology#H.CNLB
http://kbpedia.org/kko/rc/Canal,kko:superClassOf,http://www.geonames.org/ontology#H.CNLQ
http://kbpedia.org/kko/rc/Canal,kko:superClassOf,http://www.geonames.org/ontology#H.CNLX
http://kbpedia.org/kko/rc/Canyon,kko:superClassOf,http://www.geonames.org/ontology#T.CNYN
http://kbpedia.org/kko/rc/Canyon,kko:superClassOf,http://www.geonames.org/ontology#U.CNSU
http://kbpedia.org/kko/rc/Canyon,kko:superClassOf,http://www.geonames.org/ontology#U.CNYU
http://kbpedia.org/kko/rc/Causeway,kko:superClassOf,http://www.geonames.org/ontology#R.CSWY
http://kbpedia.org/kko/rc/Causeway,kko:superClassOf,http://www.geonames.org/ontology#R.CSWYQ
http://kbpedia.org/kko/rc/Cirque,kko:superClassOf,http://www.geonames.org/ontology#T.CRQ
http://kbpedia.org/kko/rc/Cirque,kko:superClassOf,http://www.geonames.org/ontology#T.CRQS
http://kbpedia.org/kko/rc/Dam,kko:superClassOf,http://www.geonames.org/ontology#S.DAM
http://kbpedia.org/kko/rc/Dam,kko:superClassOf,http://www.geonames.org/ontology#S.DAMQ
http://kbpedia.org/kko/rc/Desert,kko:superClassOf,http://www.geonames.org/ontology#T.HMDA
http://kbpedia.org/kko/rc/Desert,kko:superClassOf,http://www.geonames.org/ontology#T.REG
http://kbpedia.org/kko/rc/Ditch,kko:superClassOf,http://www.geonames.org/ontology#H.DTCH
http://kbpedia.org/kko/rc/Ditch,kko:superClassOf,http://www.geonames.org/ontology#H.DTCHM
http://kbpedia.org/kko/rc/Dock,kko:superClassOf,http://www.geonames.org/ontology#H.DCK
http://kbpedia.org/kko/rc/Dock,kko:superClassOf,http://www.geonames.org/ontology#S.WHRF
http://kbpedia.org/kko/rc/DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#T.SBED
http://kbpedia.org/kko/rc/DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADX
http://kbpedia.org/kko/rc/DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WAD
http://kbpedia.org/kko/rc/DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADB
http://kbpedia.org/kko/rc/DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADJ
http://kbpedia.org/kko/rc/DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADM
http://kbpedia.org/kko/rc/DryCreekBed,kko:superClassOf,http://www.geonames.org/ontology#H.WADS
http://kbpedia.org/kko/rc/Estate-LegalEntity,kko:superClassOf,http://www.geonames.org/ontology#S.EST
http://kbpedia.org/kko/rc/Estate-LegalEntity,kko:superClassOf,http://www.geonames.org/ontology#S.ESTX
http://kbpedia.org/kko/rc/FactoryBuildingComplex,kko:superClassOf,http://www.geonames.org/ontology#S.MFG
http://kbpedia.org/kko/rc/FactoryBuildingComplex,kko:superClassOf,http://www.geonames.org/ontology#S.MFGQ
http://kbpedia.org/kko/rc/Field-Agricultural,kko:superClassOf,http://www.geonames.org/ontology#S.FRM
http://kbpedia.org/kko/rc/Field-Agricultural,kko:superClassOf,http://www.geonames.org/ontology#S.FRMQ
http://kbpedia.org/kko/rc/Field-Agricultural,kko:superClassOf,http://www.geonames.org/ontology#S.FRMS
http://kbpedia.org/kko/rc/Field-Land,kko:superClassOf,http://www.geonames.org/ontology#V.GRVC
http://kbpedia.org/kko/rc/Field-Land,kko:superClassOf,http://www.geonames.org/ontology#V.GRVO
http://kbpedia.org/kko/rc/Field-Land,kko:superClassOf,http://www.geonames.org/ontology#V.GRVP
http://kbpedia.org/kko/rc/Field-Land,kko:superClassOf,http://www.geonames.org/ontology#V.GRVPN
http://kbpedia.org/kko/rc/Field-Land,kko:superClassOf,http://www.geonames.org/ontology#L.FLD
http://kbpedia.org/kko/rc/Fjord,kko:superClassOf,http://www.geonames.org/ontology#H.FJD
http://kbpedia.org/kko/rc/Fjord,kko:superClassOf,http://www.geonames.org/ontology#H.FJDS
http://kbpedia.org/kko/rc/Guyot,kko:superClassOf,http://www.geonames.org/ontology#U.TMSU
http://kbpedia.org/kko/rc/Guyot,kko:superClassOf,http://www.geonames.org/ontology#U.TMTU
http://kbpedia.org/kko/rc/Harbor,kko:superClassOf,http://www.geonames.org/ontology#H.HBR
http://kbpedia.org/kko/rc/Harbor,kko:superClassOf,http://www.geonames.org/ontology#H.HBRX
http://kbpedia.org/kko/rc/Hill-Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.HLLU
http://kbpedia.org/kko/rc/Hill-Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.HLSU
http://kbpedia.org/kko/rc/Hill-Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.MNDU
http://kbpedia.org/kko/rc/House-Modern,kko:superClassOf,http://www.geonames.org/ontology#S.GHSE
http://kbpedia.org/kko/rc/House-Modern,kko:superClassOf,http://www.geonames.org/ontology#S.HSE
http://kbpedia.org/kko/rc/Icecap,kko:superClassOf,http://www.geonames.org/ontology#H.CAPG
http://kbpedia.org/kko/rc/Icecap,kko:superClassOf,http://www.geonames.org/ontology#H.DPRG
http://kbpedia.org/kko/rc/Icecap,kko:superClassOf,http://www.geonames.org/ontology#H.DOMG
http://kbpedia.org/kko/rc/Icecap,kko:superClassOf,http://www.geonames.org/ontology#H.RDGG
http://kbpedia.org/kko/rc/Inlet,kko:superClassOf,http://www.geonames.org/ontology#H.INLTQ
http://kbpedia.org/kko/rc/Inlet,kko:superClassOf,http://www.geonames.org/ontology#H.INLT
http://kbpedia.org/kko/rc/IrrigationCanal,kko:superClassOf,http://www.geonames.org/ontology#H.CNLI
http://kbpedia.org/kko/rc/IrrigationCanal,kko:superClassOf,http://www.geonames.org/ontology#H.CNLSB
http://kbpedia.org/kko/rc/IslandRegion,kko:superClassOf,http://www.geonames.org/ontology#T.ISLS
http://kbpedia.org/kko/rc/IslandRegion,kko:superClassOf,http://www.geonames.org/ontology#T.ISLX
http://kbpedia.org/kko/rc/Knoll-Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.KNLU
http://kbpedia.org/kko/rc/Knoll-Undersea,kko:superClassOf,http://www.geonames.org/ontology#U.KNSU
http://kbpedia.org/kko/rc/Lagoon,kko:superClassOf,http://www.geonames.org/ontology#H.LGN
http://kbpedia.org/kko/rc/Lagoon,kko:superClassOf,http://www.geonames.org/ontology#H.LGNS
http://kbpedia.org/kko/rc/Lagoon,kko:superClassOf,http://www.geonames.org/ontology#H.LGNX
http://kbpedia.org/kko/rc/Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKC
http://kbpedia.org/kko/rc/Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKSC
http://kbpedia.org/kko/rc/Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKI
http://kbpedia.org/kko/rc/Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKSI
http://kbpedia.org/kko/rc/Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LK
http://kbpedia.org/kko/rc/Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKS
http://kbpedia.org/kko/rc/Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKX
http://kbpedia.org/kko/rc/Lake,kko:superClassOf,http://www.geonames.org/ontology#H.LKSB
http://kbpedia.org/kko/rc/MedicalCareFacility,kko:superClassOf,http://www.geonames.org/ontology#S.CTRM
http://kbpedia.org/kko/rc/MedicalCareFacility,kko:superClassOf,http://www.geonames.org/ontology#S.HSPC
http://kbpedia.org/kko/rc/MedicalCareFacility,kko:superClassOf,http://www.geonames.org/ontology#S.HSPD
