s,p,o
http://umbel.org/umbel/rc/1-2-Nitrophenoxyoctane,owl:equivalentClass,http://kbpedia.org/kko/rc/1-2-Nitrophenoxyoctane
http://umbel.org/umbel/rc/1-Amino-2-propanol,owl:equivalentClass,http://kbpedia.org/kko/rc/1-Amino-2-propanol
http://umbel.org/umbel/rc/1-Amino-2-propanone,owl:equivalentClass,http://kbpedia.org/kko/rc/1-Amino-2-propanone
http://umbel.org/umbel/rc/11-Deoxycortisol,owl:equivalentClass,http://kbpedia.org/kko/rc/11-Deoxycortisol
http://umbel.org/umbel/rc/112-Trichloro-122-trifluoroethane,owl:equivalentClass,http://kbpedia.org/kko/rc/112-Trichloro-122-trifluoroethane
http://umbel.org/umbel/rc/12-Dichlorotetrafluoroethane,owl:equivalentClass,http://kbpedia.org/kko/rc/12-Dichlorotetrafluoroethane
http://umbel.org/umbel/rc/12-Dimethoxybenzene,owl:equivalentClass,http://kbpedia.org/kko/rc/12-Dimethoxybenzene
http://umbel.org/umbel/rc/12-O-Tetradecanoylphorbol-13-acetate,owl:equivalentClass,http://kbpedia.org/kko/rc/12-O-Tetradecanoylphorbol-13-acetate
http://umbel.org/umbel/rc/124-Trioxane,owl:equivalentClass,http://kbpedia.org/kko/rc/124-Trioxane
http://umbel.org/umbel/rc/13-Dimethylpentylamine,owl:equivalentClass,http://kbpedia.org/kko/rc/13-Dimethylpentylamine
http://umbel.org/umbel/rc/14-Dimethoxybenzene,owl:equivalentClass,http://kbpedia.org/kko/rc/14-Dimethoxybenzene
http://umbel.org/umbel/rc/14-Dioxane,owl:equivalentClass,http://kbpedia.org/kko/rc/14-Dioxane
http://umbel.org/umbel/rc/17-Hydroxypregnenolone,owl:equivalentClass,http://kbpedia.org/kko/rc/17-Hydroxypregnenolone
http://umbel.org/umbel/rc/17-Ketosteroid,owl:equivalentClass,http://kbpedia.org/kko/rc/17-Ketosteroid
http://umbel.org/umbel/rc/1999UEFAChampionsLeagueFinal,owl:equivalentClass,http://kbpedia.org/kko/rc/1999UEFAChampionsLeagueFinal
http://umbel.org/umbel/rc/1p36DeletionSyndrome,owl:equivalentClass,http://kbpedia.org/kko/rc/1p36DeletionSyndrome
http://umbel.org/umbel/rc/2-Chloro-1112-tetrafluoroethane,owl:equivalentClass,http://kbpedia.org/kko/rc/2-Chloro-1112-tetrafluoroethane
http://umbel.org/umbel/rc/2-MethoxybenzoicAcid,owl:equivalentClass,http://kbpedia.org/kko/rc/2-MethoxybenzoicAcid
http://umbel.org/umbel/rc/2009FluPandemic,owl:equivalentClass,http://kbpedia.org/kko/rc/2009FluPandemic
http://umbel.org/umbel/rc/2011CricketWorldCup,owl:equivalentClass,http://kbpedia.org/kko/rc/2011CricketWorldCup
http://umbel.org/umbel/rc/2011IIHFWorldChampionship,owl:equivalentClass,http://kbpedia.org/kko/rc/2011IIHFWorldChampionship
http://umbel.org/umbel/rc/2011RugbyWorldCup,owl:equivalentClass,http://kbpedia.org/kko/rc/2011RugbyWorldCup
http://umbel.org/umbel/rc/2011SoutheastAsianGames,owl:equivalentClass,http://kbpedia.org/kko/rc/2011SoutheastAsianGames
http://umbel.org/umbel/rc/2011WorldAquaticsChampionships,owl:equivalentClass,http://kbpedia.org/kko/rc/2011WorldAquaticsChampionships
http://umbel.org/umbel/rc/2011WorldChampionshipsInAthletics,owl:equivalentClass,http://kbpedia.org/kko/rc/2011WorldChampionshipsInAthletics
http://umbel.org/umbel/rc/2012IAAFWorldIndoorChampionships,owl:equivalentClass,http://kbpedia.org/kko/rc/2012IAAFWorldIndoorChampionships
http://umbel.org/umbel/rc/2012WorldFigureSkatingChampionships,owl:equivalentClass,http://kbpedia.org/kko/rc/2012WorldFigureSkatingChampionships
http://umbel.org/umbel/rc/2012WorldJuniorIceHockeyChampionships,owl:equivalentClass,http://kbpedia.org/kko/rc/2012WorldJuniorIceHockeyChampionships
http://umbel.org/umbel/rc/22-Bipyridine,owl:equivalentClass,http://kbpedia.org/kko/rc/22-Bipyridine
http://umbel.org/umbel/rc/22-Dimethoxypropane,owl:equivalentClass,http://kbpedia.org/kko/rc/22-Dimethoxypropane
http://umbel.org/umbel/rc/24-Dimethyl-6-tert-butylphenol,owl:equivalentClass,http://kbpedia.org/kko/rc/24-Dimethyl-6-tert-butylphenol
http://umbel.org/umbel/rc/26-Di-tert-butylphenol,owl:equivalentClass,http://kbpedia.org/kko/rc/26-Di-tert-butylphenol
http://umbel.org/umbel/rc/26-Lutidine,owl:equivalentClass,http://kbpedia.org/kko/rc/26-Lutidine
http://umbel.org/umbel/rc/3-Amino-5-nitrosalicylicAcid,owl:equivalentClass,http://kbpedia.org/kko/rc/3-Amino-5-nitrosalicylicAcid
http://umbel.org/umbel/rc/3-NitrobenzoicAcid,owl:equivalentClass,http://kbpedia.org/kko/rc/3-NitrobenzoicAcid
http://umbel.org/umbel/rc/3-PhosphoglycerateMolecule,owl:equivalentClass,http://kbpedia.org/kko/rc/3-PhosphoglycerateMolecule
http://umbel.org/umbel/rc/33-DiaminobenzidineTetrahydrochloride,owl:equivalentClass,http://kbpedia.org/kko/rc/33-DiaminobenzidineTetrahydrochloride
http://umbel.org/umbel/rc/35-DinitrobenzoicAcid,owl:equivalentClass,http://kbpedia.org/kko/rc/35-DinitrobenzoicAcid
http://umbel.org/umbel/rc/4-AminobenzoicAcid,owl:equivalentClass,http://kbpedia.org/kko/rc/4-AminobenzoicAcid
