s,p,o
http://kbpedia.org/kko/rc/IDDocument,kko:superClassOf,http://xmlns.com/foaf/0.1/PersonalProfileDocument
http://kbpedia.org/kko/rc/InternetActivity,kko:superClassOf,http://xmlns.com/foaf/0.1/OnlineEcommerceAccount
http://kbpedia.org/kko/rc/OnlineChat,kko:superClassOf,http://xmlns.com/foaf/0.1/OnlineChatAccount
http://kbpedia.org/kko/rc/Project,kko:superClassOf,http://xmlns.com/foaf/0.1/Project
http://kbpedia.org/kko/rc/WrittenRecord,kko:superClassOf,http://xmlns.com/foaf/0.1/PersonalProfileDocument
http://xmlns.com/foaf/0.1/OnlineAccount,kko:superClassOf,http://kbpedia.org/kko/rc/InternetService
http://xmlns.com/foaf/0.1/Agent,owl:equivalentClass,http://kbpedia.org/kko/rc/Agent-Generic
http://xmlns.com/foaf/0.1/Group,owl:equivalentClass,http://kbpedia.org/kko/rc/MultiIndividualAgent-Intelligent
http://xmlns.com/foaf/0.1/Organization,owl:equivalentClass,http://kbpedia.org/kko/rc/Organization
http://xmlns.com/foaf/0.1/Person,owl:equivalentClass,http://kbpedia.org/kko/rc/Person
http://xmlns.com/foaf/0.1/Document,owl:equivalentClass,http://kbpedia.org/kko/rc/Document
http://xmlns.com/foaf/0.1/Image,owl:equivalentClass,http://kbpedia.org/kko/rc/ComputerImageFile
http://xmlns.com/foaf/0.1/LabelProperty,owl:equivalentClass,http://kbpedia.org/kko/rc/Label-IBO
http://kbpedia.org/kko/rc/InternetService,rdfs:subClassOf,http://xmlns.com/foaf/0.1/OnlineAccount
http://xmlns.com/foaf/0.1/OnlineChatAccount,rdfs:subClassOf,http://kbpedia.org/kko/rc/OnlineChat
http://xmlns.com/foaf/0.1/OnlineEcommerceAccount,rdfs:subClassOf,http://kbpedia.org/kko/rc/InternetActivity
http://xmlns.com/foaf/0.1/PersonalProfileDocument,rdfs:subClassOf,http://kbpedia.org/kko/rc/WrittenRecord
http://xmlns.com/foaf/0.1/PersonalProfileDocument,rdfs:subClassOf,http://kbpedia.org/kko/rc/IDDocument
http://xmlns.com/foaf/0.1/Project,rdfs:subClassOf,http://kbpedia.org/kko/rc/Project
