s,p,o
http://kbpedia.org/kko/rc/Agent-Generic,kko:superClassOf,http://purl.org/dc/terms/Agent
http://kbpedia.org/kko/rc/Capability,kko:superClassOf,http://purl.org/openorg/Capability
http://kbpedia.org/kko/rc/PhysicalDevice,kko:superClassOf,http://purl.org/openorg/Equipment
http://kbpedia.org/kko/rc/Facility-Generic,kko:superClassOf,http://purl.org/openorg/Facility
http://kbpedia.org/kko/rc/ServiceEvent,kko:superClassOf,http://purl.org/openorg/Service
http://kbpedia.org/kko/rc/VisualArtifact-CW,kko:superClassOf,http://xmlns.com/foaf/0.1/Image
http://kbpedia.org/kko/rc/Organization,kko:superClassOf,http://xmlns.com/foaf/0.1/Organization
http://kbpedia.org/kko/rc/Person,kko:superClassOf,http://xmlns.com/foaf/0.1/Person
http://purl.org/dc/terms/Agent,rdfs:subClassOf,http://kbpedia.org/kko/rc/Agent-Generic
http://purl.org/openorg/Capability,rdfs:subClassOf,http://kbpedia.org/kko/rc/Capability
http://purl.org/openorg/Equipment,rdfs:subClassOf,http://kbpedia.org/kko/rc/PhysicalDevice
http://purl.org/openorg/Facility,rdfs:subClassOf,http://kbpedia.org/kko/rc/Facility-Generic
http://xmlns.com/foaf/0.1/Image,rdfs:subClassOf,http://kbpedia.org/kko/rc/VisualArtifact-CW
http://xmlns.com/foaf/0.1/Organization,rdfs:subClassOf,http://kbpedia.org/kko/rc/Organization
http://xmlns.com/foaf/0.1/Person,rdfs:subClassOf,http://kbpedia.org/kko/rc/Person
http://purl.org/openorg/Service,rdfs:subClassOf,http://kbpedia.org/kko/rc/ServiceEvent
http://xmlns.com/foaf/0.1/Image,owl:equivalentClass,http://kbpedia.org/kko/rc/ComputerImageFile
http://xmlns.com/foaf/0.1/Organization,owl:equivalentClass,http://kbpedia.org/kko/rc/Organization
http://xmlns.com/foaf/0.1/Person,owl:equivalentClass,http://kbpedia.org/kko/rc/Person
