s,p,o
http://schema.org/Abdomen,owl:equivalentClass,http://kbpedia.org/kko/rc/Abdomen
http://schema.org/AboutPage,owl:equivalentClass,http://kbpedia.org/kko/rc/AboutPage
http://schema.org/AcceptAction,rdfs:subClassOf,http://kbpedia.org/kko/rc/Accepting-CommunicationAct
http://schema.org/RsvpAction,owl:equivalentClass,http://kbpedia.org/kko/rc/AcceptingAnInvitation
http://schema.org/Accommodation,owl:equivalentClass,http://kbpedia.org/kko/rc/Accommodating-HelpingAnAgent
http://schema.org/AccountingService,kko:superClassOf,http://kbpedia.org/kko/rc/AccountingFirm
http://schema.org/OrderStatus,rdfs:subClassOf,http://kbpedia.org/kko/rc/AccountTypeByStatus
http://schema.org/PaymentStatusType,rdfs:subClassOf,http://kbpedia.org/kko/rc/AccountTypeByStatus
http://schema.org/Action,owl:equivalentClass,http://kbpedia.org/kko/rc/Action
http://schema.org/ActionAccessSpecification,rdfs:subClassOf,http://kbpedia.org/kko/rc/Action
http://schema.org/ReactAction,rdfs:subClassOf,http://kbpedia.org/kko/rc/Action
http://schema.org/EventStatusType,rdfs:subClassOf,http://kbpedia.org/kko/rc/ActionTypeByWorkflowStatus
http://schema.org/AdultEntertainment,owl:equivalentClass,http://kbpedia.org/kko/rc/AdultEntertainment
http://schema.org/AggregateOffer,owl:equivalentClass,http://kbpedia.org/kko/rc/AggregateOffer
http://schema.org/AggregateRating,owl:equivalentClass,http://kbpedia.org/kko/rc/AggregateRating
http://schema.org/EmployerAggregateRating,rdfs:subClassOf,http://kbpedia.org/kko/rc/AggregateRating
http://schema.org/ApprovedIndication,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://schema.org/MedicalCondition,kko:superClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://schema.org/MedicalContraindication,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://schema.org/MedicalIndication,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://schema.org/MedicalSymptom,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://schema.org/PreventionIndication,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://schema.org/TreatmentIndication,rdfs:subClassOf,http://kbpedia.org/kko/rc/AilmentCondition
http://schema.org/Airline,owl:equivalentClass,http://kbpedia.org/kko/rc/AirlineCompany
http://schema.org/FlightReservation,owl:equivalentClass,http://kbpedia.org/kko/rc/AirlineReservation
http://schema.org/Flight,owl:equivalentClass,http://kbpedia.org/kko/rc/AirplaneTrip
http://schema.org/Airport,owl:equivalentClass,http://kbpedia.org/kko/rc/Airport-Physical
http://schema.org/MusicAlbum,owl:equivalentClass,http://kbpedia.org/kko/rc/Album-CW
http://schema.org/MusicAlbumProductionType,rdfs:subClassOf,http://kbpedia.org/kko/rc/Album-CW
http://schema.org/MusicAlbumReleaseType,rdfs:subClassOf,http://kbpedia.org/kko/rc/Album-CW
http://schema.org/AlignmentObject,rdfs:subClassOf,http://kbpedia.org/kko/rc/AligningSomething
http://schema.org/AllocateAction,owl:equivalentClass,http://kbpedia.org/kko/rc/Allocation
http://schema.org/Homeopathic,rdfs:subClassOf,http://kbpedia.org/kko/rc/AlternativeMedicine
http://schema.org/AmusementPark,owl:equivalentClass,http://kbpedia.org/kko/rc/AmusementPark
http://schema.org/Vessel,owl:equivalentClass,http://kbpedia.org/kko/rc/AnatomicalVessel
http://schema.org/Anesthesia,owl:equivalentClass,http://kbpedia.org/kko/rc/Anesthesia
http://schema.org/AnatomicalStructure,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://schema.org/AnatomicalSystem,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://schema.org/SuperficialAnatomy,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://schema.org/ApartmentComplex,owl:equivalentClass,http://kbpedia.org/kko/rc/ApartmentComplex
http://schema.org/Apartment,owl:equivalentClass,http://kbpedia.org/kko/rc/ApartmentUnit
http://schema.org/MobileApplication,rdfs:subClassOf,http://kbpedia.org/kko/rc/Applet-ComputerProgram
http://schema.org/SoftwareApplication,owl:equivalentClass,http://kbpedia.org/kko/rc/ApplicationProgram
http://schema.org/APIReference,rdfs:subClassOf,http://kbpedia.org/kko/rc/ApplicationProgrammingInterface
http://schema.org/ApplyAction,kko:superClassOf,http://kbpedia.org/kko/rc/ApplyingResourceEvent
http://schema.org/AgreeAction,rdfs:subClassOf,http://kbpedia.org/kko/rc/Approval-CommunicationAct
http://schema.org/AuthorizeAction,kko:superClassOf,http://kbpedia.org/kko/rc/ApprovingARequest
http://schema.org/Aquarium,owl:equivalentClass,http://kbpedia.org/kko/rc/Aquarium
http://schema.org/ArriveAction,owl:equivalentClass,http://kbpedia.org/kko/rc/ArrivingAtAPlace
http://schema.org/Artery,owl:equivalentClass,http://kbpedia.org/kko/rc/Artery
