id,short id,reltype,l1 ns,l2 ns,proptype,label ,definitions,altlabel,datatype,domain (RC),range,domainIncludes,rangeIncludes,subproperties,subPropertyOf
http://schema.org/amenityFeature,amenityFeature,A,1,1,qualities,amenityFeature,An amenity feature (e.g. a characteristic or service) of the Accommodation. This generic property does not make a statement about whether the feature is included in an offer for the main accommodation or available at extra costs.,,,Lodging||LodgingOrganization,thing,"http://schema.org/Accommodation, http://schema.org/LodgingBusiness, http://schema.org/Place",http://schema.org/LocationFeatureSpecification,,
http://schema.org/characterAttribute,characterAttribute,A,1,1,qualities,characterAttribute,"A piece of data that represents a particular aspect of a fictional character (skill, power, character points, advantage, disadvantage).",,,ComputerGameProgram-Graphical||VideoGameSeries ,thing,"http://schema.org/Game, http://schema.org/VideoGameSeries",http://schema.org/Thing,,
http://schema.org/itemCondition,itemCondition,A,1,1,qualities,itemCondition,"A predefined value from OfferItemCondition or a textual description of the condition of the product or service, or the products or services included in the offer.",,,CommercialProposal,thing,"http://schema.org/Demand, http://schema.org/Offer, http://schema.org/Product",http://schema.org/OfferItemCondition,,
http://schema.org/accessibilityFeature,accessibilityFeature,A,1,1,qualitiesData,accessibilityFeature,"Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>).",,,ConceptualWork,string,http://schema.org/CreativeWork,http://schema.org/Text,,
http://schema.org/additionalProperty,additionalProperty,A,1,1,qualitiesData,additionalProperty,"A property-value pair representing an additional characteristics of the entitity, e.g. a product feature or another characteristic for which there is no matching property in schema.org.<br/>Note: Publishers should be aware that applications designed to use specific schema.org properties (e.g. http://schema.org/width, http://schema.org/color, http://schema.org/gtin13, ...) will typically expect such data to be provided using those properties, rather than using the generic property/value mechanism.",,,owl:Thing,decimal,"http://schema.org/Place, http://schema.org/Product, http://schema.org/QualitativeValue, http://schema.org/QuantitativeValue",http://schema.org/PropertyValue,,
http://schema.org/benefits,benefits,A,1,1,qualitiesData,benefits,Description of benefits associated with the job.,,,JobListing,string,http://schema.org/JobPosting,http://schema.org/Text,,
http://schema.org/color,color,A,1,1,qualitiesData,color-schema,The color of the product.,,,Product,string,http://schema.org/Product,http://schema.org/Text,,
http://schema.org/depth,depth,A,1,1,qualitiesData,depth,The depth of the item.,,,Product,decimal,"http://schema.org/Product, http://schema.org/VisualArtwork","http://schema.org/Distance, http://schema.org/QuantitativeValue",,
http://schema.org/educationRequirements,educationRequirements,A,1,1,qualitiesData,educationRequirements,Educational background needed for the position or Occupation.,,,JobListing||PersonTypeByOccupation,string,"http://schema.org/JobPosting, http://schema.org/Occupation",http://schema.org/Text,,
http://schema.org/experienceRequirements,experienceRequirements,A,1,1,qualitiesData,experienceRequirements,Description of skills and experience needed for the position or Occupation.,,,JobListing||PersonTypeByOccupation,string,"http://schema.org/JobPosting, http://schema.org/Occupation",http://schema.org/Text,,
http://schema.org/free,free,A,1,1,qualitiesData,free,"A flag to signal that the item, event, or place is accessible for free.",,,owl:Thing,boolean,http://schema.org/PublicationEvent,http://schema.org/Boolean,,
http://schema.org/gender,gender,A,1,1,qualitiesData,gender,"Gender of the person. While http://schema.org/Male and http://schema.org/Female may be used, text strings are also acceptable for people who do not identify as a binary gender.",,,Person,string,http://schema.org/Person,"http://schema.org/GenderType, http://schema.org/Text",,
http://schema.org/height,height,A,1,1,qualitiesData,height,The height of the item.,,,owl:Thing,decimal,"http://schema.org/MediaObject, http://schema.org/Person, http://schema.org/Product, http://schema.org/VisualArtwork","http://schema.org/Distance, http://schema.org/QuantitativeValue",,
http://schema.org/incentiveCompensation,incentiveCompensation,A,1,1,qualitiesData,incentiveCompensation,Description of bonus and commission compensation aspects of the job.,incentives,,JobListing,string,http://schema.org/JobPosting,http://schema.org/Text,,
http://schema.org/incentives,incentives,A,1,1,qualitiesData,incentives,Description of bonus and commission compensation aspects of the job.,,,JobListing,string,http://schema.org/JobPosting,http://schema.org/Text,,
http://schema.org/isLiveBroadcast,isLiveBroadcast,A,1,1,qualitiesData,isLiveBroadcast,True is the broadcast is of a live event.,,,Broadcasting,boolean,http://schema.org/BroadcastEvent,http://schema.org/Boolean,,
http://schema.org/jobBenefits,jobBenefits,A,1,1,qualitiesData,jobBenefits,Description of benefits associated with the job.,benefits,,JobListing,string,http://schema.org/JobPosting,http://schema.org/Text,,
http://schema.org/publicAccess,publicAccess,A,1,1,qualitiesData,publicAccess,"A flag to signal that the <a class=""localLink"" href=""http://schema.org/Place"">Place</a> is open to public visitors.  If this property is omitted there is no assumed default boolean value",,,Places,boolean,http://schema.org/Place,http://schema.org/Boolean,,
http://schema.org/qualifications,qualifications,A,1,1,qualitiesData,qualifications,Specific qualifications required for this role or Occupation.,,,JobListing||PersonTypeByOccupation,string,"http://schema.org/JobPosting, http://schema.org/Occupation",http://schema.org/Text,,
http://schema.org/requiredGender,requiredGender,A,1,1,qualitiesData,requiredGender,Audiences defined by a person's gender.,,,Audience,string,http://schema.org/PeopleAudience,http://schema.org/Text,,
http://schema.org/responsibilities,responsibilities,A,1,1,qualitiesData,responsibilities,Responsibilities associated with this role or Occupation.,,,JobListing||PersonTypeByOccupation,string,"http://schema.org/JobPosting, http://schema.org/Occupation",http://schema.org/Text,,
http://schema.org/skills,skills,A,1,1,qualitiesData,skills,Skills required to fulfill this role or in this Occupation.,,,JobListing||PersonTypeByOccupation,string,"http://schema.org/JobPosting, http://schema.org/Occupation",http://schema.org/Text,,
http://schema.org/smokingAllowed,smokingAllowed,A,1,1,qualitiesData,smokingAllowed,"Indicates whether it is allowed to smoke in the place, e.g. in the restaurant, hotel or hotel room.",,,Places,boolean,http://schema.org/Place,http://schema.org/Boolean,,
http://schema.org/suggestedGender,suggestedGender,A,1,1,qualitiesData,suggestedGender,The gender of the person or audience.,,,Audience,string,http://schema.org/PeopleAudience,http://schema.org/Text,,
http://schema.org/suitableForDiet,suitableForDiet,A,1,1,qualitiesData,suitableForDiet,"Indicates a dietary restriction or guideline for which this recipe or menu item is suitable, e.g. diabetic, halal etc.",,,Recipe-CW,string,"http://schema.org/MenuItem, http://schema.org/Recipe",http://schema.org/RestrictedDiet,,
http://schema.org/vehicleInteriorColor,vehicleInteriorColor,A,1,1,qualitiesData,vehicleInteriorColor,The color or color combination of the interior of the vehicle.,,,Automobile,string,http://schema.org/Vehicle,http://schema.org/Text,,
http://schema.org/videoQuality,videoQuality,A,1,1,qualitiesData,videoQuality,The quality of the video.,,,VisualImage,string,http://schema.org/VideoObject,http://schema.org/Text,,
http://schema.org/width,width,A,1,1,qualitiesData,width,The width of the item.,,,owl:Thing,decimal,"http://schema.org/MediaObject, http://schema.org/Product, http://schema.org/VisualArtwork","http://schema.org/Distance, http://schema.org/QuantitativeValue",,
http://schema.org/hasPOS,hasPOS,A,1,2,elementals,hasPOS,Points-of-Sales operated by the organization or person.,,,Agent,thing,"http://schema.org/Organization, http://schema.org/Person",http://schema.org/Place,,
http://schema.org/quest,quest,A,1,2,elementals,quest,"The task that a player-controlled character, or group of characters may complete in order to gain a reward.",,,ComputerGameProgram-Graphical||VideoGameSeries ,thing,"http://schema.org/Game, http://schema.org/VideoGameSeries",http://schema.org/Thing,,
http://schema.org/accessibilityHazard,accessibilityHazard,A,1,2,elementalsData,accessibilityHazard,"A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3 (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>).",,,ConceptualWork,string,http://schema.org/CreativeWork,http://schema.org/Text,,
http://schema.org/httpMethod,httpMethod,A,1,2,elementalsData,httpMethod,An HTTP method that specifies the appropriate HTTP method for a request to an HTTP EntryPoint. Values are capitalized strings as used in HTTP.,,,DynamicIndexedInfoSource,string,http://schema.org/EntryPoint,http://schema.org/Text,,
http://schema.org/mealService,mealService,A,1,2,elementalsData,mealService,Description of the meals that will be provided or available for purchase.,,,CommercialPassengerFlight,string,http://schema.org/Flight,http://schema.org/Text,,
http://schema.org/multipleValues,multipleValues,A,1,2,elementalsData,multipleValues,Whether multiple values are allowed for the property.  Default is false.,,,Pricing,boolean,http://schema.org/PropertyValueSpecification,http://schema.org/Boolean,,
http://schema.org/readonlyValue,readonlyValue,A,1,2,elementalsData,readonlyValue,"Whether or not a property is mutable.  Default is false. Specifying this for a property that also has a value makes it act similar to a ""hidden"" input in an HTML form.",,,Pricing,boolean,http://schema.org/PropertyValueSpecification,http://schema.org/Boolean,,
http://schema.org/valueAddedTaxIncluded,valueAddedTaxIncluded,A,1,2,elementalsData,valueAddedTaxIncluded,Specifies whether the applicable value-added tax (VAT) is included in the price specification or not.,,,CommercialProposal,boolean,http://schema.org/PriceSpecification,http://schema.org/Boolean,,
http://schema.org/valueRequired,valueRequired,A,1,2,elementalsData,valueRequired,Whether the property must be filled in to complete the action.  Default is false.,,,Pricing,boolean,http://schema.org/PropertyValueSpecification,http://schema.org/Boolean,,
http://schema.org/playMode,playMode,A,1,3,forms,playMode,"Indicates whether this game is multi-player, co-op or single-player.  The game can be marked as multi-player, co-op and single-player at the same time.",,,ComputerGameProgram-Graphical||VideoGameSeries ,thing,"http://schema.org/VideoGame, http://schema.org/VideoGameSeries",http://schema.org/GamePlayMode,,
http://schema.org/steeringPosition,steeringPosition,A,1,3,forms,steeringPosition,The position of the steering wheel or similar device (mostly for cars).,,,Automobile,thing,http://schema.org/Vehicle,http://schema.org/SteeringPositionValue,,
http://schema.org/accessMode,accessMode,A,1,3,formsData,accessMode,"The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Expected values include: auditory, tactile, textual, visual, colorDependent, chartOnVisual, chemOnVisual, diagramOnVisual, mathOnVisual, musicOnVisual, textOnVisual.",,,ConceptualWork,string,http://schema.org/CreativeWork,http://schema.org/Text,,
http://schema.org/accessModeSufficient,accessModeSufficient,A,1,3,formsData,accessModeSufficient,"A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Expected values include:  auditory, tactile, textual, visual.",,,ConceptualWork,string,http://schema.org/CreativeWork,http://schema.org/Text,,
http://schema.org/artform,artform,A,1,3,formsData,artform,"e.g. Painting, Drawing, Sculpture, Print, Photograph, Assemblage, Collage, etc.",,,VisualArtifact-CW,anyURI,http://schema.org/VisualArtwork,"http://schema.org/Text, http://schema.org/URL",,
http://schema.org/articleBody,articleBody,A,1,3,formsData,articleBody,The actual body of the article.,,,Article-PCW,string,http://schema.org/Article,http://schema.org/Text,,
http://schema.org/artworkSurface,artworkSurface,A,1,3,formsData,artworkSurface,"The supporting materials for the artwork, e.g. Canvas, Paper, Wood, Board, etc.",surface,,VisualArtifact-CW,anyURI,http://schema.org/VisualArtwork,"http://schema.org/Text, http://schema.org/URL",,
http://schema.org/box,box,A,1,3,formsData,box,"A box is the area enclosed by the rectangle formed by two points. The first point is the lower corner, the second point is the upper corner. A box is expressed as two points separated by a space character.",,,GeometricFigure,string,http://schema.org/GeoShape,http://schema.org/Text,,
http://schema.org/broadcastServiceTier,broadcastServiceTier,A,1,3,formsData,broadcastServiceTier,The type of service required to have access to the channel (e.g. Standard or Premium).,,,Broadcasting,string,http://schema.org/BroadcastChannel,http://schema.org/Text,,
http://schema.org/circle,circle,A,1,3,formsData,circle,A circle is the circular region of a specified radius centered at a specified latitude and longitude. A circle is expressed as a pair followed by a radius in meters.,,,GeometricFigure,string,http://schema.org/GeoShape,http://schema.org/Text,,
