s,p,o
http://kbpedia.org/kko/rc/Article-PCW,owl:equivalentClass,http://purl.org/ontology/bibo/Article
http://kbpedia.org/kko/rc/Bill-ProposedLaw,owl:equivalentClass,http://purl.org/ontology/bibo/Bill
http://kbpedia.org/kko/rc/Chapter-PCW,owl:equivalentClass,http://purl.org/ontology/bibo/Chapter
http://kbpedia.org/kko/rc/Conference,owl:equivalentClass,http://purl.org/ontology/bibo/Conference
http://kbpedia.org/kko/rc/Hearing-LegalProceeding,owl:equivalentClass,http://purl.org/ontology/bibo/Hearing
http://kbpedia.org/kko/rc/InstructionalWork,owl:equivalentClass,http://purl.org/ontology/bibo/Manual
http://kbpedia.org/kko/rc/JournalSeries,owl:equivalentClass,http://purl.org/ontology/bibo/Journal
http://kbpedia.org/kko/rc/Letter,owl:equivalentClass,http://purl.org/ontology/bibo/Letter
http://kbpedia.org/kko/rc/MagazineSeries,owl:equivalentClass,http://purl.org/ontology/bibo/Magazine
http://kbpedia.org/kko/rc/Manuscript,owl:equivalentClass,http://purl.org/ontology/bibo/Manuscript
http://kbpedia.org/kko/rc/Map,owl:equivalentClass,http://purl.org/ontology/bibo/Map
http://kbpedia.org/kko/rc/Movie,owl:equivalentClass,http://purl.org/ontology/bibo/Film
http://kbpedia.org/kko/rc/NewspaperSeries,owl:equivalentClass,http://purl.org/ontology/bibo/Newspaper
http://kbpedia.org/kko/rc/Patent,owl:equivalentClass,http://purl.org/ontology/bibo/Patent
http://kbpedia.org/kko/rc/Periodical,owl:equivalentClass,http://purl.org/ontology/bibo/Periodical
http://kbpedia.org/kko/rc/ScholarlyArticle,owl:equivalentClass,http://purl.org/ontology/bibo/AcademicArticle
http://kbpedia.org/kko/rc/Slide,owl:equivalentClass,http://purl.org/ontology/bibo/Slide
http://kbpedia.org/kko/rc/Slideshow,owl:equivalentClass,http://purl.org/ontology/bibo/Slideshow
http://kbpedia.org/kko/rc/VideoConceptualWork,kko:superClassOf,http://purl.org/ontology/bibo/AudioVisualDocument
http://kbpedia.org/kko/rc/WrittenReportOnSituation,owl:equivalentClass,http://purl.org/ontology/bibo/Report
http://purl.org/ontology/bibo/AudioVisualDocument,rdfs:subClassOf,http://kbpedia.org/kko/rc/VideoConceptualWork
