s,p,o
http://dbpedia.org/ontology/Abbey,owl:equivalentClass,http://kbpedia.org/kko/rc/Abbey
http://dbpedia.org/ontology/ProgrammingLanguage,rdfs:subClassOf,http://kbpedia.org/kko/rc/AbstractProgrammingLanguage
http://dbpedia.org/ontology/Activity,owl:equivalentClass,http://kbpedia.org/kko/rc/Action
http://dbpedia.org/ontology/Actor,owl:equivalentClass,http://kbpedia.org/kko/rc/Actor
http://dbpedia.org/ontology/AdultActor,rdfs:subClassOf,http://kbpedia.org/kko/rc/Actor
http://dbpedia.org/ontology/VoiceActor,owl:equivalentClass,http://kbpedia.org/kko/rc/Actor-Voice
http://dbpedia.org/ontology/ClericalAdministrativeRegion,rdfs:subClassOf,http://kbpedia.org/kko/rc/AdministrativeDistrict
http://dbpedia.org/ontology/GovernmentalAdministrativeRegion,owl:equivalentClass,http://kbpedia.org/kko/rc/AdministrativeDistrict
http://dbpedia.org/ontology/MicroRegion,rdfs:subClassOf,http://kbpedia.org/kko/rc/AdministrativeDistrict
http://dbpedia.org/ontology/BeautyQueen,rdfs:subClassOf,http://kbpedia.org/kko/rc/AdultFemaleHuman
http://dbpedia.org/ontology/Agent,owl:equivalentClass,http://kbpedia.org/kko/rc/Agent-Generic
http://dbpedia.org/ontology/Disease,owl:equivalentClass,http://kbpedia.org/kko/rc/AilmentCondition
http://dbpedia.org/ontology/Airline,owl:equivalentClass,http://kbpedia.org/kko/rc/AirlineCompany
http://dbpedia.org/ontology/Airport,owl:equivalentClass,http://kbpedia.org/kko/rc/Airport-Physical
http://dbpedia.org/ontology/Aircraft,owl:equivalentClass,http://kbpedia.org/kko/rc/AirTransportationVehicle
http://dbpedia.org/ontology/Album,owl:equivalentClass,http://kbpedia.org/kko/rc/Album
http://dbpedia.org/ontology/Altitude,owl:equivalentClass,http://kbpedia.org/kko/rc/Altitude
http://dbpedia.org/ontology/Ambassador,owl:equivalentClass,http://kbpedia.org/kko/rc/Ambassador
http://dbpedia.org/ontology/Amphibian,owl:equivalentClass,http://kbpedia.org/kko/rc/Amphibian
http://dbpedia.org/ontology/AmusementParkAttraction,owl:equivalentClass,http://kbpedia.org/kko/rc/AmusementParkRide
http://dbpedia.org/ontology/WaterRide,rdfs:subClassOf,http://kbpedia.org/kko/rc/AmusementParkRide
http://dbpedia.org/ontology/Animal,owl:equivalentClass,http://kbpedia.org/kko/rc/Animal
http://dbpedia.org/ontology/AnatomicalStructure,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalBodyPart
http://dbpedia.org/ontology/HorseTrainer,rdfs:subClassOf,http://kbpedia.org/kko/rc/AnimalTrainer
http://dbpedia.org/ontology/Anime,owl:equivalentClass,http://kbpedia.org/kko/rc/Anime
http://dbpedia.org/ontology/Arachnid,owl:equivalentClass,http://kbpedia.org/kko/rc/Arachnid
http://dbpedia.org/ontology/Archaea,owl:equivalentClass,http://kbpedia.org/kko/rc/Archaea
http://dbpedia.org/ontology/Archeologist,owl:equivalentClass,http://kbpedia.org/kko/rc/Archaeologist
http://dbpedia.org/ontology/Archipelago,owl:equivalentClass,http://kbpedia.org/kko/rc/Archipelago
http://dbpedia.org/ontology/Architect,owl:equivalentClass,http://kbpedia.org/kko/rc/Architect
http://dbpedia.org/ontology/ArchitecturalStructure,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArchitecturalTypeByStyle
http://dbpedia.org/ontology/Archive,owl:equivalentClass,http://kbpedia.org/kko/rc/Archive
http://dbpedia.org/ontology/Area,owl:equivalentClass,http://kbpedia.org/kko/rc/Area
http://dbpedia.org/ontology/Aristocrat,owl:equivalentClass,http://kbpedia.org/kko/rc/Aristocrat
http://dbpedia.org/ontology/BritishRoyalty,rdfs:subClassOf,http://kbpedia.org/kko/rc/Aristocrat
http://dbpedia.org/ontology/Royalty,owl:equivalentClass,http://kbpedia.org/kko/rc/Aristocrat
http://dbpedia.org/ontology/NobleFamily,owl:equivalentClass,http://kbpedia.org/kko/rc/AristocraticFamilyLine
http://dbpedia.org/ontology/Noble,owl:equivalentClass,http://kbpedia.org/kko/rc/AristocratTypeByTitle
http://dbpedia.org/ontology/Arrondissement,owl:equivalentClass,http://kbpedia.org/kko/rc/Arrondissement
http://dbpedia.org/ontology/Artery,owl:equivalentClass,http://kbpedia.org/kko/rc/Artery
http://dbpedia.org/ontology/Article,owl:equivalentClass,http://kbpedia.org/kko/rc/Article-PCW
http://dbpedia.org/ontology/Artist,owl:equivalentClass,http://kbpedia.org/kko/rc/Artist
http://dbpedia.org/ontology/BeautyQueen,rdfs:subClassOf,http://kbpedia.org/kko/rc/Artist-Performer
http://dbpedia.org/ontology/ArtisticGenre,rdfs:subClassOf,http://kbpedia.org/kko/rc/ArtistTypeByArtForm
http://dbpedia.org/ontology/Asteroid,owl:equivalentClass,http://kbpedia.org/kko/rc/Asteroid
http://dbpedia.org/ontology/Astronaut,owl:equivalentClass,http://kbpedia.org/kko/rc/Astronaut
http://dbpedia.org/ontology/ArcherPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/Athlete,owl:equivalentClass,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/AthleticsPlayer,owl:equivalentClass,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/Biathlete,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/BobsleighAthlete,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/Canoeist,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/Curler,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/DartsPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/GaelicGamesPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/HorseRider,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/NetballPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/Rower,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/Skater,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/Ski-jumper,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/SnookerChamp,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/SnookerPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/SpeedSkater,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/SportsTeamMember,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/TableTennisPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/TeamMember,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
http://dbpedia.org/ontology/WaterPoloPlayer,rdfs:subClassOf,http://kbpedia.org/kko/rc/Athlete
