s,p,o
http://purl.org/vocab/frbr/core#Concept,owl:equivalentClass,http:/kbpedia.org/kbpedia/rc/Concept
http://purl.org/vocab/frbr/core#Event,owl:equivalentClass,http:/kbpedia.org/kbpedia/rc/Event
http://purl.org/vocab/frbr/core#Person,owl:equivalentClass,http:/kbpedia.org/kbpedia/rc/Person
http://purl.org/vocab/frbr/core#producer,owl:equivalentClass,http:/kbpedia.org/kbpedia/rc/Producer
http://purl.org/vocab/frbr/core#Work,owl:equivalentClass,http:/kbpedia.org/kbpedia/rc/PropositionalConceptualWork
http://purl.org/vocab/frbr/core#abridgement,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/DecreaseEvent
http://purl.org/vocab/frbr/core#adaption,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/ConvertingSomething
http://purl.org/vocab/frbr/core#arrangement,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/ArrangementOfLikeObjects
http://purl.org/vocab/frbr/core#CorporateBody,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/CommercialOrganization
http:/kbpedia.org/kbpedia/rc/Creator-Person,rdfs:subClassOf,http://purl.org/vocab/frbr/core#creator
http://purl.org/vocab/frbr/core#embodiment,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/Embodiment
http://purl.org/vocab/frbr/core#Endeavour,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/CreatingAnArtifact
http://purl.org/vocab/frbr/core#Expression,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/TextualPCW
http://purl.org/vocab/frbr/core#imitation,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/ImitationOfIndividual
http://purl.org/vocab/frbr/core#Manifestation,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/Manifestation
http://purl.org/vocab/frbr/core#owner,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/OwningSomething
http://purl.org/vocab/frbr/core#part,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/PhysicalPartOfObject
http://purl.org/vocab/frbr/core#relatedEndeavour,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/Relation
http://purl.org/vocab/frbr/core#reproduction,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/PrintReproduction
http://purl.org/vocab/frbr/core#revision,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/Amendment-PCW
http://purl.org/vocab/frbr/core#summarization,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/Summary
http://purl.org/vocab/frbr/core#supplement,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/TextualPCW
http://purl.org/vocab/frbr/core#transformation,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/Transformation
http://purl.org/vocab/frbr/core#translation,rdfs:subClassOf,http:/kbpedia.org/kbpedia/rc/IBTTranslating
http:/kbpedia.org/kbpedia/rc/DecreaseEvent,kko:superClassOf,http://purl.org/vocab/frbr/core#abridgement
http:/kbpedia.org/kbpedia/rc/ConvertingSomething,kko:superClassOf,http://purl.org/vocab/frbr/core#adaption
http:/kbpedia.org/kbpedia/rc/ArrangementOfLikeObjects,kko:superClassOf,http://purl.org/vocab/frbr/core#arrangement
http:/kbpedia.org/kbpedia/rc/CommercialOrganization,kko:superClassOf,http://purl.org/vocab/frbr/core#CorporateBody
http://purl.org/vocab/frbr/core#creator,kko:superClassOf,http:/kbpedia.org/kbpedia/rc/Creator-Person
http:/kbpedia.org/kbpedia/rc/Embodiment,kko:superClassOf,http://purl.org/vocab/frbr/core#embodiment
http:/kbpedia.org/kbpedia/rc/CreatingAnArtifact,kko:superClassOf,http://purl.org/vocab/frbr/core#Endeavour
http:/kbpedia.org/kbpedia/rc/TextualPCW,kko:superClassOf,http://purl.org/vocab/frbr/core#Expression
http:/kbpedia.org/kbpedia/rc/ImitationOfIndividual,kko:superClassOf,http://purl.org/vocab/frbr/core#imitation
http:/kbpedia.org/kbpedia/rc/Individual,kko:superClassOf,http://purl.org/vocab/frbr/core#Item
http:/kbpedia.org/kbpedia/rc/Manifestation,kko:superClassOf,http://purl.org/vocab/frbr/core#Manifestation
http:/kbpedia.org/kbpedia/rc/PartiallyTangible,kko:superClassOf,http://purl.org/vocab/frbr/core#Object
http:/kbpedia.org/kbpedia/rc/OwningSomething,kko:superClassOf,http://purl.org/vocab/frbr/core#owner
http:/kbpedia.org/kbpedia/rc/PhysicalPartOfObject,kko:superClassOf,http://purl.org/vocab/frbr/core#part
http:/kbpedia.org/kbpedia/rc/Relation,kko:superClassOf,http://purl.org/vocab/frbr/core#relatedEndeavour
http:/kbpedia.org/kbpedia/rc/PrintReproduction,kko:superClassOf,http://purl.org/vocab/frbr/core#reproduction
http:/kbpedia.org/kbpedia/rc/Amendment-PCW,kko:superClassOf,http://purl.org/vocab/frbr/core#revision
http:/kbpedia.org/kbpedia/rc/Summary-CW,kko:superClassOf,http://purl.org/vocab/frbr/core#summarization
http:/kbpedia.org/kbpedia/rc/TextualPCW,kko:superClassOf,http://purl.org/vocab/frbr/core#supplement
http:/kbpedia.org/kbpedia/rc/Transformation,kko:superClassOf,http://purl.org/vocab/frbr/core#transformation
http:/kbpedia.org/kbpedia/rc/IBTTranslating,kko:superClassOf,http://purl.org/vocab/frbr/core#translation
