s,p,o
http://kbpedia.org/kko/rc/A-GenerationalCephalosporin,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51285400
http://kbpedia.org/kko/rc/Abrasive,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31191500
http://kbpedia.org/kko/rc/AbrasiveMesh,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31191515
http://kbpedia.org/kko/rc/AbrasiveWheel,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31191600
http://kbpedia.org/kko/rc/AbsorbableGelatinSponge,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=42311601
http://kbpedia.org/kko/rc/Absorbent,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=47131900
http://kbpedia.org/kko/rc/AccelerationVibrationMeasuringInstrument,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=41116400
http://kbpedia.org/kko/rc/AccessManagementService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=81161500
http://kbpedia.org/kko/rc/AccommodationBuildingStructure,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=95122100
http://kbpedia.org/kko/rc/AccommodationFurniture,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=56100000
http://kbpedia.org/kko/rc/Accordion,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=60131002
http://kbpedia.org/kko/rc/AccountBasedCreditProduct,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=64101900
http://kbpedia.org/kko/rc/AccountingBookkeepingService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=84110000
http://kbpedia.org/kko/rc/AccountingEnterpriseResourcePlanningSoftware,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=43231600
http://kbpedia.org/kko/rc/AccountingProgram,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=43231601
http://kbpedia.org/kko/rc/AccountingService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=84111500
http://kbpedia.org/kko/rc/AccountingSoftwareMaintenance,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=81112213
http://kbpedia.org/kko/rc/AcetateRelated,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51311600
http://kbpedia.org/kko/rc/Acetylene,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=15111506
http://kbpedia.org/kko/rc/AcidCatalyst,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12161601
http://kbpedia.org/kko/rc/AcidDye,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12171511
http://kbpedia.org/kko/rc/AcidFreeTissuePaper,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=14121604
http://kbpedia.org/kko/rc/AcidizingEquipment,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=20121000
http://kbpedia.org/kko/rc/AcousticalInsulationService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=72152100
http://kbpedia.org/kko/rc/AcousticalNoiseControlEnclosure,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31261700
http://kbpedia.org/kko/rc/AcrylicFiber,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=11151504
http://kbpedia.org/kko/rc/AcrylicFilm,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=13111204
http://kbpedia.org/kko/rc/AcrylicPaint,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31211508
http://kbpedia.org/kko/rc/AcrylicPaint,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31211506
http://kbpedia.org/kko/rc/AcrylicPlastic,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=13111064
http://kbpedia.org/kko/rc/AcrylicSheet,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=60121137
http://kbpedia.org/kko/rc/Actinium,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12141701
http://kbpedia.org/kko/rc/ActionGame,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=43232001
http://kbpedia.org/kko/rc/ActivatedCarbon,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=11101522
http://kbpedia.org/kko/rc/ActivePlayEquipmentAccessory,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=60141200
http://kbpedia.org/kko/rc/Actuator,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31251500
http://kbpedia.org/kko/rc/AcupunctureEquipment,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=42144200
http://kbpedia.org/kko/rc/AcupunctureNeedle,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=42144201
http://kbpedia.org/kko/rc/AcuteCareMonitoringUnit,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=42181900
http://kbpedia.org/kko/rc/AddingMachine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=44101802
http://kbpedia.org/kko/rc/Additive,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12160000
http://kbpedia.org/kko/rc/Adhesive,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31201600
http://kbpedia.org/kko/rc/AdhesiveSealant,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31200000
http://kbpedia.org/kko/rc/AdhesiveSealant,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=31200000
http://kbpedia.org/kko/rc/AdjustableFork,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=24101628
http://kbpedia.org/kko/rc/AdministrativeLawService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=80122100
http://kbpedia.org/kko/rc/AdrenergicBlockingAgent,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51260000
http://kbpedia.org/kko/rc/AdrenergicBlockingAgentAmide,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51261500
http://kbpedia.org/kko/rc/AdrenergicBlockingAgentAmine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51261600
http://kbpedia.org/kko/rc/AdrenergicBlockingBenzofuran,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51261800
http://kbpedia.org/kko/rc/AdrenergicBlockingButyrophenoneRelated,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262000
http://kbpedia.org/kko/rc/AdrenergicBlockingDioxane,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262200
http://kbpedia.org/kko/rc/AdrenergicBlockingErgolineRelated,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262300
http://kbpedia.org/kko/rc/AdrenergicBlockingEthanolamine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262400
http://kbpedia.org/kko/rc/AdrenergicBlockingGuanidine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262500
http://kbpedia.org/kko/rc/AdrenergicBlockingImidazole,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262600
http://kbpedia.org/kko/rc/AdrenergicBlockingImidazoline,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262700
http://kbpedia.org/kko/rc/AdrenergicBlockingIndole,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262100
http://kbpedia.org/kko/rc/AdrenergicBlockingIsoquinoline,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263700
http://kbpedia.org/kko/rc/AdrenergicBlockingPhenethylamineQuinoline,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263500
http://kbpedia.org/kko/rc/AdrenergicBlockingPhenoxypropanolamine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51262900
http://kbpedia.org/kko/rc/AdrenergicBlockingPiperazine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263000
http://kbpedia.org/kko/rc/AdrenergicBlockingPropanolamine,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263100
http://kbpedia.org/kko/rc/AdrenergicBlockingQuinazoline,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263600
http://kbpedia.org/kko/rc/AdrenergicBlockingSynthesized,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=51263300
http://kbpedia.org/kko/rc/AdsorptionIonExchange,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=23201100
http://kbpedia.org/kko/rc/AdultDiaper,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=53102306
http://kbpedia.org/kko/rc/AdultEducation,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=86111600
http://kbpedia.org/kko/rc/AdventureGame,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=43232002
http://kbpedia.org/kko/rc/Advertising,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=82100000
http://kbpedia.org/kko/rc/AdvertisingAgencyService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=82101800
http://kbpedia.org/kko/rc/AerialAdvertising,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=82101700
http://kbpedia.org/kko/rc/AerialCable,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=26121608
http://kbpedia.org/kko/rc/AerialCropSurvey,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=70141608
http://kbpedia.org/kko/rc/AerialLift,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=22101800
http://kbpedia.org/kko/rc/AerobicTrainingEquipment,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=49201500
http://kbpedia.org/kko/rc/AerobiologicalScienceService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=81171900
http://kbpedia.org/kko/rc/AeronauticalEngineering,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=81102300
http://kbpedia.org/kko/rc/AerosolStuff,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=12161803
http://kbpedia.org/kko/rc/AerospaceLocationNavigationSystem,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=25201600
http://kbpedia.org/kko/rc/AerospaceSystemComponent,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=25200000
http://kbpedia.org/kko/rc/Aggregate,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=30111800
http://kbpedia.org/kko/rc/Agreement,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=64131500
http://kbpedia.org/kko/rc/AgriculturalBuildingConstructionService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=72121200
http://kbpedia.org/kko/rc/AgriculturalBuildingStructure,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=95122500
http://kbpedia.org/kko/rc/AgriculturalForestryEquipment,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=21100000
http://kbpedia.org/kko/rc/AgriculturalHarvestingMachinery,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=21101700
http://kbpedia.org/kko/rc/AgriculturalLand,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=95101900
http://kbpedia.org/kko/rc/AgriculturalPlantingMachinery,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=21101600
http://kbpedia.org/kko/rc/AgriculturalProcessingMachinery,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=21102100
http://kbpedia.org/kko/rc/AgriculturalProtectionMaterial,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=21102600
http://kbpedia.org/kko/rc/AgriculturalResearch,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=93141905
http://kbpedia.org/kko/rc/AgriculturalScienceService,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=81171800
http://kbpedia.org/kko/rc/AgriculturalSoilMachinery,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=21101500
http://kbpedia.org/kko/rc/AgriculturalSortingCleaningMachinery,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=21102000
http://kbpedia.org/kko/rc/AgriculturalSprayingDevice,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=21101800
http://kbpedia.org/kko/rc/AgricultureForestryGardenHandtool,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=27112000
http://kbpedia.org/kko/rc/AgricultureNaturalResourceTraining,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=86101500
http://kbpedia.org/kko/rc/AgroforestryResource,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=70151902
http://kbpedia.org/kko/rc/AidFinancing,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=84101600
http://kbpedia.org/kko/rc/AirborneParticleMonitoring,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=77121508
http://kbpedia.org/kko/rc/AirBrush,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=60121253
http://kbpedia.org/kko/rc/AirCargoTransport,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=78101500
http://kbpedia.org/kko/rc/AirCirculationPart,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=40101600
http://kbpedia.org/kko/rc/AirCirculator,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=40101602
http://kbpedia.org/kko/rc/AirCompressor,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=40151601
http://kbpedia.org/kko/rc/AirConditioner,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=40101701
http://kbpedia.org/kko/rc/Aircraft,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=25130000
http://kbpedia.org/kko/rc/AircraftAccumulator,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=25202700
http://kbpedia.org/kko/rc/AircraftCarrier,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=25111702
http://kbpedia.org/kko/rc/AircraftElevator,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=25201508
http://kbpedia.org/kko/rc/AircraftEmergencySystem,kko:unspsc-code,https://usa.databasesets.com/unspsc/search?keywords=25201900
