top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
Region,,,
,Mx4rvVjTtJwpEbGdrcN5Y29ycA,Place,
Region,,,
,http://www.w3.org/2002/07/owl#Thing,,
Region,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
Region,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rHKA2rmHkEdqAAAACs71DGQ,(CollectionDifferenceFn Thing PerceptualAgent),
Region,,,
,Mx4rvhT1EZwpEbGdrcN5Y29ycA,Location-Underspecified,
Region,,,
,,,SpatialThing
,,,
,,,
Place,1,,
Location-Underspecified,1,,
(CollectionDifferenceFn Thing Person),1,,
(CollectionDifferenceFn Thing PerceptualAgent),1,,
,1,,
