top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
ElementStuffType,,,
,Mx4rvViGSpwpEbGdrcN5Y29ycA,TangibleStuffCompositionType,
ElementStuffType,,,
,Mx4rvVny6pwpEbGdrcN5Y29ycA,ExistingStuffType,
ElementStuffType,,,
,,,TemporalStuffType
ElementStuff,,,
,Mx4rwNLC-5wpEbGdrcN5Y29ycA,ExanimateObject,
ElementStuff,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rHKA2rmHkEdqAAAACs71DGQ,(CollectionDifferenceFn Thing PerceptualAgent),
ElementStuff,,,
,Mx4rvVkF6pwpEbGdrcN5Y29ycA,InanimateObject,
ElementStuff,,,
,http://www.w3.org/2002/07/owl#Thing,,
ElementStuff,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViAxJwpEbGdrcN5Y29ycB4rvVim7ZwpEbGdrcN5Y29ycA,(CollectionDifferenceFn TemporalThing BiologicalLivingObject),
ElementStuff,,,
,Mx4rvVj27ZwpEbGdrcN5Y29ycA,PartiallyTangible,
ElementStuff,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
ElementStuff,,,
,Mx4rwImSW5wpEbGdrcN5Y29ycA,Agent-Underspecified,
ElementStuff,,,
,Mx4rwG_fwJwpEbGdrcN5Y29ycA,SurfaceRegion-Underspecified,
ElementStuff,,,
,,,SpatialThing
,,,
,,,
TangibleStuffCompositionType,1,,
SurfaceRegion-Underspecified,1,,
PartiallyTangible,1,,
InanimateObject,1,,
ExistingStuffType,1,,
ExanimateObject,1,,
Agent-Underspecified,1,,
(CollectionDifferenceFn Thing Person),1,,
(CollectionDifferenceFn Thing PerceptualAgent),1,,
(CollectionDifferenceFn TemporalThing BiologicalLivingObject),1,,
,1,,
