top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
Mythology,,,
,,,PropositionalInformationThing
IndividualIntelligence,,,
,Mx4rvVixI5wpEbGdrcN5Y29ycA,IntangibleExistingThing,
IndividualIntelligence,,,
,Mx4rvVjj45wpEbGdrcN5Y29ycA,IntangibleIndividual,
IndividualIntelligence,,,
,Mx4rvVi255wpEbGdrcN5Y29ycA,SomethingExisting,
IndividualIntelligence,,,
,Mx4rwBObNJwpEbGdrcN5Y29ycA,PartiallyIntangibleIndividual,
IndividualIntelligence,,,
,Mx4rvVjjo5wpEbGdrcN5Y29ycA,Intangible,
IndividualIntelligence,,,
,Mx4rvVjaApwpEbGdrcN5Y29ycA,Individual,
IndividualIntelligence,,,
,,,TemporallyExistingThing
,,,
,,,
SomethingExisting,1,,
PartiallyIntangibleIndividual,1,,
IntangibleIndividual,1,,
IntangibleExistingThing,1,,
Intangible,1,,
Individual,1,,
