top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
PublicPlace,,,
,Mx4rvVjTtJwpEbGdrcN5Y29ycA,Place,
PublicPlace,,,
,http://www.w3.org/2002/07/owl#Thing,,
PublicPlace,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
PublicPlace,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rHKA2rmHkEdqAAAACs71DGQ,(CollectionDifferenceFn Thing PerceptualAgent),
PublicPlace,,,
,Mx4rvhT1EZwpEbGdrcN5Y29ycA,Location-Underspecified,
PublicPlace,,,
,,,SpatialThing
HauntedThing,,,
,Mx4ro3lluGJHQdiVxrZReHS-jQ,EnduringThing-Localized,
HauntedThing,,,
,,,SpatialThing-Localized
GeographicalAgent,,,
,,,GeographicalRegion
Place-NonAgent,,,
,Mx4rvVjTtJwpEbGdrcN5Y29ycA,Place,
Place-NonAgent,,,
,http://www.w3.org/2002/07/owl#Thing,,
Place-NonAgent,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
Place-NonAgent,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rHKA2rmHkEdqAAAACs71DGQ,(CollectionDifferenceFn Thing PerceptualAgent),
Place-NonAgent,,,
,Mx4rvhT1EZwpEbGdrcN5Y29ycA,Location-Underspecified,
Place-NonAgent,,,
,,,SpatialThing
,,,
,,,
Place,2,,
Location-Underspecified,2,,
(CollectionDifferenceFn Thing Person),2,,
(CollectionDifferenceFn Thing PerceptualAgent),2,,
,2,,
EnduringThing-Localized,1,,
