top-typology-kbpedia-rc-id,opencyc-path-id,opencyc-path-label,connecting-kbpedia-rc
HumanlyOccupiedSpatialObject,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvVi255wpEbGdrcN5Y29ycB4rvVjVT5wpEbGdrcN5Y29ycA,(CollectionDifferenceFn SomethingExisting Organization),
HumanlyOccupiedSpatialObject,,,
,Mx4rvVi255wpEbGdrcN5Y29ycA,SomethingExisting,
HumanlyOccupiedSpatialObject,,,
,Mx4rvVjaApwpEbGdrcN5Y29ycA,Individual,
HumanlyOccupiedSpatialObject,,,
,,,TemporallyExistingThing
GeographicalThing,,,
,Mx4ro3lluGJHQdiVxrZReHS-jQ,EnduringThing-Localized,
GeographicalThing,,,
,,,SpatialThing-Localized
Epicenter,,,
,Mx4rvVjTtJwpEbGdrcN5Y29ycA,Place,
Epicenter,,,
,http://www.w3.org/2002/07/owl#Thing,,
Epicenter,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rvViAkpwpEbGdrcN5Y29ycA,(CollectionDifferenceFn Thing Person),
Epicenter,,,
,Mx8Ngx4rwROrhZwpEbGdrcN5Y29ycB4rvViA9JwpEbGdrcN5Y29ycB4rHKA2rmHkEdqAAAACs71DGQ,(CollectionDifferenceFn Thing PerceptualAgent),
Epicenter,,,
,Mx4rvhT1EZwpEbGdrcN5Y29ycA,Location-Underspecified,
Epicenter,,,
,,,SpatialThing
,,,
,,,
SomethingExisting,1,,
Place,1,,
Location-Underspecified,1,,
Individual,1,,
EnduringThing-Localized,1,,
(CollectionDifferenceFn Thing Person),1,,
(CollectionDifferenceFn Thing PerceptualAgent),1,,
(CollectionDifferenceFn SomethingExisting Organization),1,,
,1,,
